release_year,COUNTA of show_id
1920,3
1922,2
1923,1
1924,1
1925,8
1926,2
1927,1
1929,4
1930,5
1931,3
1932,8
1933,5
1934,12
1935,15
1936,29
1937,24
1938,15
1939,21
1940,16
1941,22
1942,16
1943,21
1944,12
1945,14
1946,21
1947,22
1948,15
1949,14
1950,21
1951,18
1952,16
1953,21
1954,15
1955,9
1956,17
1957,5
1958,15
1959,18
1960,12
1961,11
1962,12
1963,20
1964,13
1965,9
1966,10
1967,17
1968,19
1969,16
1970,25
1971,16
1972,20
1973,17
1974,24
1975,27
1976,12
1977,14
1978,23
1979,16
1980,25
1981,22
1982,17
1983,17
1984,28
1985,28
1986,40
1987,33
1988,44
1989,45
1990,40
1991,45
1992,56
1993,57
1994,63
1995,72
1996,62
1997,59
1998,59
1999,64
2000,81
2001,82
2002,92
2003,81
2004,103
2005,112
2006,138
2007,176
2008,171
2009,149
2010,186
2011,252
2012,252
2013,289
2014,391
2015,378
2016,521
2017,562
2018,623
2019,929
2020,962
2021,1442
Grand Total,9668
